keys,en,cs
TERMINAL_ITEMS_CONSOLE_TEXT,Console,Konzole
TERMINAL_ITEMS_SETTINGS_TEXT,Settings,Nastavení
TERMINAL_ITEMS_SKINS_TEXT,Skins,Skiny
TERMINAL_ITEMS_ITEMS_TEXT,Items,Předměty
TERMINAL_BEHAVIOR_TAB_TITLE,Behavior,Chování
TERMINAL_AUDIO_TAB_TITLE,Audio,Zvuk
TERMINAL_GENERAL_TAB_TITLE,General,Obecné
TERMINAL_DEBUG_TAB_TITLE,Debug,Ladění
TERMINAL_INVICIBLE_TITLE,"Invincible\n[i]Prevents death, mood loss, hunger, trust loss...[/i]","Nezranitelný\n[i]Zabraňuje smrti, ztrátě nálady, hladu, ztrátě důvěry...[/i]"
TERMINAL_LOBOTOMY_TITLE,Enable mood,Povolit náladu
TERMINAL_HUNGRY_TITLE,Enable hunger,Povolit hlad
TERMINAL_YAPPING_TITLE,Enable yapping,Povolit žvanění (yapping)
TERMINAL_SLEEPY_TITLE,Enable sleep cycles,Povolit cyklus spánku
TERMINAL_SILENCE_TITLE,Disable ALL speech,Zakázat VEŠKEROU řeč
TERMINAL_SILENCE_SOFT_TITLE,Disable passive speech,Zakázat pasivní řeč
TERMINAL_MIN_DIALOGUE_TITLE,Minimum time between passive dialouge,Minimální čas mezi dialogy
TERMINAL_MAX_DIALOGUE_TITLE,Maximum time between passive dialouge,Maximální čas mezi dialogy
TERMINAL_SPAWN_SIZE_TITLE,New sawian spawn size,Velikost expieho při vytvoření
TERMINAL_MASTER_VOLUME_TITLE,Master Volume,Celková hlasitost
TERMINAL_MUTE_DIALOGUE_TITLE,Mute dialogue sounds,Ztlumit zvuky dialogů
TERMINAL_MUTE_WHINE_TITLE,Mute whining sounds,Ztlumit kňučení
TERMINAL_MUTE_BARK_TITLE,Mute barking sounds,Ztlumit štěkání
TERMINAL_MUTE_PET_TITLE,Mute petting sounds,Ztlumit zvuky mazlení
TERMINAL_MUTE_EATING_TITLE,Mute eating sounds,Ztlumit zvuky při jídle
TERMINAL_LANGUAGE_TITLE,Language,Jazyk
TERMINAL_DEFAULT_MONITOR_TITLE,Default monitor,Výchozí monitor
TERMINAL_MAX_FPS_IDLE_TITLE,Max FPS: Idle,Max FPS: Nečinný
TERMINAL_MAX_FPS_INTERACT_TITLE,Max FPS: Interacting,Max FPS: Interakce
TERMINAL_PERSISTENCE_TITLE,Keep spawned expies across sessions,Zachovat vytvořené expies mezi spuštěními
TERMINAL_UPDATE_NOTIF_TITLE,Update notification,Upozornění na aktualizaci
TERMINAL_NO_PERS_POPUP_TITLE,Disable 'too many expies!?' popup,Vypnout vyskakovací okno 'příliš mnoho expies!?'
TERMINAL_FONT_SIZE_TITLE,Dialogue font size,Velikost písma dialogů
TERMINAL_PIXEL_TITLE,Enable pixel rendering,Povolit pixelové vykreslování
TERMINAL_VULKAN_TITLE,"Use Vulkan [rainbow](Doesn't work!)[/rainbow]",Použít Vulkan [rainbow](Nefunguje!)[/rainbow]
TERMINAL_OPEN_FOLDER_TEXT,Open save data folder,Otevřít složku s uloženými daty
TERMINAL_QUIT_TEXT,Close Application,Zavřít aplikaci
TERMINAL_DEBUG_WARNING_TEXT,"Hello! You shouldn't mess with these ones [i]unless you know what you're doing.[/i]","Ahoj! S těmito nastaveními by sis neměl hrát [i]pokud nevíš, co děláš.[/i]"
TERMINAL_SKIN_NAME_LABEL,Default skin folder name,Výchozí název složky se skinem
TERMINAL_MOOD_MIN_LABEL,Minimum mood,Minimální nálada
TERMINAL_MOOD_MAX_LABEL,Maximum mood,Maximální nálada
TERMINAL_HUNGER_RATE_LABEL,"Hunger rate\n[rainbow](Currenly unused)[/rainbow]","Rychlost hladovění\n[rainbow](Momentálně nepoužíváno)[/rainbow]"
TERMINAL_DISCLAIMER_LABEL,"Toggle disclaimer at bootup\n[i]No longer used[/i]","Zobrazit upozornění při spuštění\n[i]Již se nepoužívá[/i]"
TERMINAL_NORMALIZE_LABEL,Normalize,Normalizovat
TERMINAL_USE_VULKAN_LABEL,Use Vulkan Rendering [color=red][wave] (REQUIRES RESTART),Použít vykreslování přes Vulkan [color=red][wave] (VYŽADUJE RESTART)
TERMINAL_DEFAULT_SKIN_BTN_TEXT,Experiment (Default),Experiment (Výchozí),
TERMINAL_SKIN_FOLDER_TEXT,Open skins folder,Otevřít složku se skiny
TERMINAL_SKIN_DB_TEXT,Skins Database,Databáze skinů
TERMINAL_SKIN_NAME_TEXT,Skin Name, Název skinu
TERMINAL_SPAWN_BTN_TEXT,Spawn,Spawn
TERMINAL_ITEMS_DISCALIMER_TEXT,"[color=ED2B42]MOST IF NOT ALL ASSETS ARE RIPPED FROM\n[color=2BEDD6]https://casualtiesunknown.miraheze.org/wiki/[/color]","[color=ED2B42]VĚTŠINA, NE-LI VŠECHNY ASSETY, JSOU PŘEVZATY Z\n[color=2BEDD6]https://casualtiesunknown.miraheze.org/wiki/[/color]"
TERMINAL_ITEM_WIDGET_TEXT,sample item,ukázková položka
